,clear ability,score ability
u_157833,40.070881368663606,20.396438999618738
u_170,33.12064096721819,15.284061161780993
u_50893,25.43183751980051,3.655597861718767
u_152207,21.801230408661613,-1.0926555354675287
u_1333,36.106158263103254,0.778623493519527
u_1952,29.06256148649814,18.04727022323266
u_27612,28.178098234315854,8.596680268698806
u_93840,42.42985899982339,11.1246839216791
u_51164,8.15928327899038,2.5038225371750364
u_123918,43.392778323706445,32.67542109986372
u_139607,49.94924639508269,52.16037392095515
u_85417,30.089939859639262,31.021701680278934
u_38182,43.05211207905855,17.389725396481175
u_165526,16.63916817063691,-8.938444022374764
u_130368,8.492251435703883,-10.271943897597572
u_32306,65.24558837355944,69.4899865898464
u_132354,18.413687980300335,11.408394914433021
u_2171,25.815016151942245,3.946654961022653
u_8150,36.85359506455061,-2.8979837073232306
u_107107,14.40508638478135,2.405543377592332
u_31757,30.472027639810502,7.258370948026347
u_70045,50.0558117484188,26.62813244404688
u_5072,26.888763927841662,15.455415827810912
u_27696,19.430876549283308,2.5423395873377355
u_86885,20.175629641747108,-6.5079554035189595
u_31155,2.479094257381657,-8.708433918571915
u_38357,27.579465965935224,9.521171753022369
u_28794,66.68743373750367,54.30471435703401
u_2355,35.82871787471828,15.996982195494658
u_16355,39.44920636118823,15.412610273121699
u_70821,66.65731237600298,63.92453707387084
u_33590,64.08699150820586,28.007684794467167
u_144764,41.149984417270836,15.98994474384923
u_32328,41.87689922135721,17.99602875322827
u_13303,51.74950495167378,41.67858611456859
u_57476,25.412193276888104,-2.6516336607610715
u_11429,26.031105625901596,2.083467679664788
u_87094,55.06027408397797,59.85733271814528
u_20912,21.455317934031175,3.953417812708982
u_64761,27.92428511649143,15.388926016203735
u_25390,33.75964933857979,5.9192381805393595
u_138222,43.48174752650637,24.897424180870956
u_21996,10.968677114555527,0.6473109888949582
u_160422,31.11639738389445,-0.13130961080906067
u_176951,34.671630304059455,15.532059367680892
u_47586,47.378554687290055,20.43315458843894
u_84133,17.895830222733657,-2.4484958822617995
u_3927,23.770257926022005,8.727315899629927
u_143139,49.60816138037738,50.89398036563202
u_147493,43.03403484486926,5.28321463210966
u_53835,32.84500862888905,28.737657910536157
u_13134,45.09059419180264,11.847836043779246
u_142127,11.13955368367025,-3.7277033062086025
u_169249,43.17107194109264,52.03458074103685
u_157851,37.76370744619759,8.085510553308708
u_134717,31.782954357936028,-4.507399392228872
u_34716,48.23554437050659,38.96326354888829
u_55136,18.621741103164627,-3.13746945390359
u_933,31.530232635485625,3.4052512336056786
u_161057,25.85167746352597,-0.7333420029294406
u_65482,19.154229534479295,-2.844271715846779
u_9195,27.36037183137977,-5.657500043684949
u_60695,33.153278343149886,17.438577613655983
u_168302,54.12608279065773,45.22862707305794
u_5493,21.112698429102434,-4.015842204646295
u_62075,35.71117363436924,12.307038753409834
u_132411,35.44738777528673,29.3435721201618
u_165207,70.21771954513837,18.56523238658652
u_7721,57.62477630544098,41.85274296815467
u_34963,26.19730975020965,0.6491458245007213
u_152783,39.8859461696717,10.055291969076086
u_45542,30.83539766015093,9.69784978503392
u_131116,-4.213544632214246,-8.305567202859162
u_95257,26.207969263432197,-1.753462153936473
u_26299,17.72674298048186,-6.220452801507913
u_173307,30.240660421707542,20.694826918312067
u_94829,29.262478341398676,3.2183932545152847
u_173404,62.13792277610239,52.7739696598974
u_47927,27.29224227563977,1.6120090852913087
u_175262,43.02090272180534,28.729710596571763
u_101862,7.3591863718249915,-2.7488033735347215
u_45669,46.726235780732615,24.949393184238932
u_35627,16.82074805296423,-6.735043488965822
u_53072,19.358245481020887,-5.755107356202459
u_152062,34.95496220920831,-2.8999194124549037
u_104815,22.038305594159617,-2.951914826505989
u_88252,32.13060859460732,6.981579975524777
u_85865,17.290898721830867,-6.242653486165336
u_32858,25.852350033357666,13.936902624799217
u_34848,31.18426754201783,1.9440760412156908
u_54195,22.624168272113227,-1.3802018579604982
u_169954,46.85509176527626,29.010265625876038
u_25085,44.528330077231274,33.58586573649899
u_43920,21.550117206637893,4.668399740287885
u_3311,57.910874373585166,49.34851730577103
u_79398,27.546077487409562,1.954383812476687
u_4945,23.677779361883175,-2.895477815076301
u_67019,36.14667191054599,14.18539628812222
u_156072,45.85671102772973,34.36308448113808
u_158059,42.74378859766836,0.7241376219167697
u_26350,26.687692859203562,1.5022211758496073
u_153441,19.323335799306875,3.2560969823105803
u_103346,25.18179771383478,-6.410524384195521
u_31526,34.4839497716013,11.364711379953295
u_143388,39.34573746120771,43.64840257231412
u_75843,33.60952723609561,14.496789226914412
u_125218,30.53778278292669,-0.5786593858787383
u_127544,24.56127269913818,-4.911656984349403
u_13137,34.82862403795694,11.433446585983619
u_80988,38.42306731076074,25.709034716017978
u_84430,19.277522916094178,-2.7903298886958066
u_63404,33.239862485313644,-1.4986752095953293
u_24498,22.681343790014516,18.154310181379277
u_131590,48.950106718195244,35.5380969441756
u_62172,8.250677537644503,3.361618907293485
u_14233,8.042608582736888,-0.7223122604107582
u_152009,12.706232905682972,-3.663881172527621
u_45856,62.44662947618048,34.53086551684197
u_105279,30.25765003668587,11.960584359749822
u_27214,33.760820025403014,18.12327770004507
u_38142,19.632561541665293,-2.2689796973601832
u_31096,38.62956881231069,15.668448266686914
u_56653,30.831036546797844,1.3797342451237549
u_109535,26.786737256964525,-5.580589861328824
u_141483,49.337244522236986,36.1309584960216
u_26284,59.60183406281425,47.62300145784421
u_160580,26.76685073212875,-3.259761118205794
u_18647,23.93197070982593,-1.723295072748057
u_46621,13.02928141918522,-0.11718342361972349
u_92116,35.15654053065541,2.0557144236209597
u_19560,23.860156803485236,9.580788439931002
u_26101,49.414460717330414,33.19962999698326
u_56568,-2.124729760213047,-3.296957077468736
u_145035,27.12530813152916,5.852209049875588
u_28115,34.19653175086499,3.623810854018182
u_836,28.68060162215787,0.13165300779352804
u_146014,24.93754500428442,2.496327713110196
u_27107,29.17698939109039,8.571038180281791
u_94098,5.318626084517554,-5.933019441417974
u_100415,53.80732484950529,18.048098134824293
u_54099,18.2641414154814,-0.9083981443025977
u_153862,24.359820271060777,-3.8571717466360997
u_30143,52.58872035221842,23.277556540214626
u_498,32.19722037090931,19.86740178690945
u_104729,47.69596749500469,28.910831444633896
u_47634,24.70957442481303,-1.4268121796874214
u_180320,18.557396641118128,-7.248260011567282
u_153524,52.26896778676553,28.56179179891188
u_48882,48.84831601351307,22.835609802898393
u_148434,30.43182648702593,4.352782269252228
u_122934,44.13738502791832,25.17465488353091
u_132031,30.552031911546226,10.676130273428724
u_80834,31.203049476308674,4.510325262916493
u_153689,55.10687795523476,15.447871781438725
u_1612,38.56104379192709,2.0310837978503526
u_121927,15.939849756794095,-3.3461032974813048
u_86382,10.740318212370513,-4.139585288154224
u_38850,32.25595580786263,2.8076861536476616
u_139987,25.562119780077456,-4.308126404712137
u_9531,51.204113161111,43.48129681983982
u_618,48.16446736290846,37.13434165010223
u_27634,34.35664097077102,8.581310506537365
u_158177,22.120778329616485,0.29565111903924046
u_7850,24.343650801862918,-1.8853173067374491
u_7864,46.63145983937487,7.337690568932484
u_62216,17.191941361212717,-3.296957077468736
u_154666,46.72059177428941,23.22408172357422
u_38560,45.01475757876647,16.968723710195675
u_156984,27.497067434328333,2.876680083978651
u_33030,52.73536763388077,36.480763178920235
u_111650,34.39320954588577,18.55777638444771
u_35432,12.638180278101418,-9.641830321577075
u_11121,19.549179198801017,12.413254105390065
u_22520,17.771955694460623,8.167289156472364
u_30881,54.811468430359376,42.50462871732643
u_16420,24.065552417145057,1.8720775808537509
u_131827,31.78115747384182,-1.55656317456249
u_7753,29.189137141822773,10.40540211681025
u_148306,0.5406052507367569,-10.21937462273953
u_158322,29.753297027805615,15.062200268414582
u_101533,45.107660339748286,36.58488408017079
u_173876,30.006321608680356,21.20736223520681
u_60399,11.325709619406013,-2.481872465706222
u_129639,34.91113202768121,6.714969328979691
u_129812,23.467375776956676,-0.27310624519641774
u_33856,37.3885481782752,2.1514917499566466
u_1006,36.549795290567275,17.37747166062038
u_7482,46.330273339759714,31.90002665755799
u_80703,51.97587346563512,31.23401939484018
u_59856,21.76212373361196,-4.959716106327105
u_23559,47.721586900525175,25.637200033847655
u_812,35.93034679280812,9.34278551811275
u_18513,18.286546487675523,0.19694751119796064
u_5631,38.7619982797285,16.50676710215583
u_28031,33.93198690409833,23.823974309839976
u_143093,10.401561320816127,3.193126517049521
u_1176,5.12695989221518,-3.9124154810660245
u_44791,21.553543901582987,-4.114821531626965
u_34097,30.10934977200668,1.9491982889538653
u_891,54.78560462669353,40.699710848809346
u_5657,20.968901869120398,3.104760762141613
u_10159,28.56022286619169,6.718382584118616
u_125226,31.62424511525995,22.83931555185138
u_180762,62.67574025069121,7.360046803612976
u_141375,39.655183020872194,21.413644617682053
u_76601,25.85732660686274,5.668590061085391
u_131270,20.503614050375226,-6.182214035827387
u_57309,44.95529184380078,40.9555230216563
u_111005,3.0098533853422307,-1.4926616535349124
u_53306,39.73728730593693,18.815072541755377
u_104856,50.65862314237504,10.221368472753039
u_60003,40.84992719779247,23.257508445116486
u_50324,23.947610204471374,-5.6021409041340595
u_78325,32.897033088856865,14.077259070655414
u_93036,18.370535122983945,-2.392850690780776
u_9032,3.645876989105925,8.205503888481864
u_140558,37.479758365004194,16.85671217185953
u_41905,32.523659947520365,15.311708981417631
u_87825,13.526589195539225,-8.673160209179606
u_32609,25.564426312277465,0.9783378748377817
u_108125,32.373474349960766,3.1038091995875075
u_2297,30.0169251031036,13.863261399632806
u_179063,48.18650030790753,24.9638078871642
u_11084,29.733267837580254,1.79244033935517
u_22742,13.974067283661373,-2.5964095011669017
u_27678,34.24022471634733,52.34232528518437
u_171442,29.118562122951214,4.22729569039675
u_31796,70.81719370399752,56.4935038854934
u_1571,39.19913453466207,23.961152057323847
u_166940,30.479805206340956,-2.1999481439767132
u_146948,-3.4006479452382847,-5.903115259045421
u_50258,22.603714334265124,-3.876252291623089
