index,level,title,sha256,md5,easy,hard,AAA,easy discrimination,hard discrimination,AAA discrimination,easy recommend,hard recommend,AAA recommend,lamp
17,sl7,アトロポスと最果の探求者 [DP sub black another],7ad748e91128036f46802fa4820396d15f6af7abaff24b5ad7dc98e7426bfe0f,0335197a43d3a8aa66d06079c5112f96,38.43884207162273,56.218676060879574,43.47197377761613,0.12977391057916526,0.27079660789752635,0.1073359390818676,0.0,0.0,0.0,0.0
18,★11,BBBLOW (EX14),0ed43ffc786c01e6727ce962f853f910729eb01a23bb2cab3d5c2de6d6385a00,0336fef6ffbc308a99b6b9db7d0539ed,56.945406137108094,69.63108428913648,71.21490567975385,0.14570654978670414,0.24286646329609496,0.1287419731690232,0.0,0.0,0.0,0.0
19,★★5,CLOCKTOWER (Abraj Al Bait Towers),89b0376edb3dff133fc1d1f6e40e05b6c14d808c58988e481699593571be26c1,03c2d647ba044238e256bc6e53927f38,64.9626536573151,73.4068076896894,54.569984488934786,0.18597155951881542,0.23483572665490174,0.19961553408429425,0.0,0.0,0.0,0.0
20,sl12,::AbnormalityPurificator:: [DP INSANE],9e65a532bf7b29339c60b49d305b9b9212aca6786ca1ac14e80911c60622e24a,03ee34febbb179b1ebc15cf0de53b803,57.68320399201278,71.57801556583748,69.85758569734023,0.1351967295933028,0.36315787039520026,0.1993003779957575,0.0,0.0,0.0,0.0
21,★3,午後のこいしちゃん [DP ⌒ワ⌒],8c3c6868420c3ec2ba8bb0256d3af4d1438c49948973af8212b9d81e61712681,04444711afe3b0776835b23f4d4bf2eb,28.295364771457077,37.42592907035158,19.481627808331154,0.20080283883392291,0.155744537944545,0.12950681722552465,0.0,0.0,0.0,0.0
22,sl6,GIFT [14key Another],b0dbdab0bc9487d1c01dfc0069dbf3b2f14894a9f58e5ab041a5050820977098,04a0afae2e165a4676c777d9bb9b55db,36.377660302512204,54.2063076712328,45.28999525320806,0.12321317308592054,0.30154035109722654,0.12949644103818128,0.0,0.0,0.0,0.0
23,★2,Re/Im [DP M-Another],6672c50ff7bcf39cd228f1fc6640c44165e4ecaedb4205aa36a6730f6519f5d5,04bd108676a4d74c9667f1d46c598771,22.41761852558344,37.45807363860418,27.489873361202942,0.15213544850558927,0.2286586876863607,0.13934145328690567,0.0,0.0,0.0,0.0
24,★★8,図書室のエルザ (litmus* Remix) [DP ALL KEY],2e83435da6c6e8d7a15189203040e767d03e58f67a1501fe435b8d047acc1802,04e242d7bf118156285d8270eff7c2cd,71.1881181469263,88.49799585384886,79.00772720985398,0.11981662166462446,0.2614742316747301,0.19302746985819816,0.0,0.0,0.0,0.0
25,★7,Air ANOTHER,04ce66cdca6ec0cc7358527b346bef9f85a1c221e9cf1653f72eacbb1f86054d,052d61fdf07cd9b0562c481f93b60aa2,40.67279342702057,53.238609363695986,56.6884661536313,0.1435837039368666,0.22193975176488315,0.1512818637179259,0.0,0.0,0.0,0.0
26,sl9,TEN -Q-,0a2a13b87aa7284a2400639bbaf2aaa03b02b9c93d6fe4cea6ab66d4794c5a82,053a9df4c39af51f5437b7377101a0e6,42.204998078761456,60.15063896538851,55.26510765690801,0.13741831010259092,0.2323904412549284,0.13035353525370766,0.0,0.0,0.0,0.0
